date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:14	18721/18721	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:20%20GMT	http://condorthemes.com/flatdream/pages-blank.html	E:/my_web/flat/condorthemes.com/flatdream/pages-blank.html	(from http://condorthemes.com/flatdream/index.html)
18:38:14	18976/18976	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:19%20GMT	http://condorthemes.com/flatdream/pages-blank-header.html	E:/my_web/flat/condorthemes.com/flatdream/pages-blank-header.html	(from http://condorthemes.com/flatdream/index.html)
18:38:15	19027/19027	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:19%20GMT	http://condorthemes.com/flatdream/pages-blank-aside.html	E:/my_web/flat/condorthemes.com/flatdream/pages-blank-aside.html	(from http://condorthemes.com/flatdream/index.html)
18:38:15	19103/19103	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:19%20GMT	http://condorthemes.com/flatdream/pages-blank-aside-header.html	E:/my_web/flat/condorthemes.com/flatdream/pages-blank-aside-header.html	(from http://condorthemes.com/flatdream/index.html)
18:38:15	38627/38627	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:21%20GMT	http://condorthemes.com/flatdream/pages-profile.html	E:/my_web/flat/condorthemes.com/flatdream/pages-profile.html	(from http://condorthemes.com/flatdream/index.html)
18:38:15	3236/3236	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:21%20GMT	http://condorthemes.com/flatdream/pages-login.html	E:/my_web/flat/condorthemes.com/flatdream/pages-login.html	(from http://condorthemes.com/flatdream/index.html)
18:38:15	5040/5040	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202014%2016:48:25%20GMT	http://condorthemes.com/flatdream/pages-sign-up.html	E:/my_web/flat/condorthemes.com/flatdream/pages-sign-up.html	(from http://condorthemes.com/flatdream/index.html)
18:38:16	2970/2970	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202014%2016:48:23%20GMT	http://condorthemes.com/flatdream/pages-forgot.html	E:/my_web/flat/condorthemes.com/flatdream/pages-forgot.html	(from http://condorthemes.com/flatdream/index.html)
18:38:16	2202/2202	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:18%20GMT	http://condorthemes.com/flatdream/pages-404.html	E:/my_web/flat/condorthemes.com/flatdream/pages-404.html	(from http://condorthemes.com/flatdream/index.html)
18:38:16	2205/2205	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:19%20GMT	http://condorthemes.com/flatdream/pages-500.html	E:/my_web/flat/condorthemes.com/flatdream/pages-500.html	(from http://condorthemes.com/flatdream/index.html)
18:38:16	22964/22964	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:22%20GMT	http://condorthemes.com/flatdream/pages-tour.html	E:/my_web/flat/condorthemes.com/flatdream/pages-tour.html	(from http://condorthemes.com/flatdream/index.html)
18:38:17	25044/25044	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:20%20GMT	http://condorthemes.com/flatdream/pages-gallery.html	E:/my_web/flat/condorthemes.com/flatdream/pages-gallery.html	(from http://condorthemes.com/flatdream/index.html)
18:38:17	27573/27573	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202014%2019:00:22%20GMT	http://condorthemes.com/flatdream/pages-search.html	E:/my_web/flat/condorthemes.com/flatdream/pages-search.html	(from http://condorthemes.com/flatdream/index.html)
